,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
74645,74646,B0026RQTGE,A28I1BP8N7I8A0,My Pen Name,1,1,4,1281571200,Dogs love them - Owners hate paying for them!,"My dogs are addicted to these things and it's my fault.  Whether or not they are good for my dog's teeth and digestive health is up in the air. All I know is that it keeps them quiet and they will do anything for them.<br /><br />I would lower the star ratings based on the fact that the manufacturer knows they have, some what, of a monopoly and charge an inordinate amount for these treats; yet, I am dumb enough to buy them so it's basically my fault.<br /><br />At least by buying on Amazon you are saving some dollar bills as compared to a traditional brick and mortar.<br /><br />My only gripe is that by the time you get to the end of the box, even if you seal the bag, they get significantly harder and I am somewhat concerned that they will splinter.<br /><br />Also, be sure to watch over your dog when he eats them, just to be safe."
74646,74647,B0026RQTGE,AHSWZSAXI8BPS,shoodow,1,1,4,1280880000,likes it,"this product does help to cleen the teeth, but doesnt really help to get rid of the bad breath of my pom..But still a good buy, cause the size is perfect for small breed dogs"
74647,74648,B0026RQTGE,A1OU45ZINNK7YV,J. Heldman,1,1,4,1277078400,My dogs' teeth are pearly white,"My dogs love their Greenies, and their teeth are pearly white from chewing on them.  The only problem is that Greenies are expensive, so I buy them in bulk on Amazon to keep the prices down a little bit,"
74648,74649,B0026RQTGE,A3NYAP2AZPWQJ5,Swiss Miss,1,1,5,1275004800,My dog loves these,My dog loves greenies - she waits for them everyday!  We give her one regular sized one per day and the teenies as treats for going outside etc.  I have heard that these do not digest easily if your dog is not a chewer.  My dog is a chewer so it works out great.  She is addicted!
74649,74650,B0026RQTGE,A31H9N00DB65HO,S. Ruzek,1,1,5,1272672000,Our dog loves her Greenies!,"Super fast shipping, even included a couple trial treats.  Our dog loves these and we'll be purchasing them again!"
74650,74651,B0026RQTGE,A1LNPBV70N2T02,"Sonja Haywood Megens ""Sonja""",1,1,5,1272153600,Good Deal for my Good Dog,My dog looks forward to a Greenie dessert everyday.  You will NOT find this deal at the local pet stores.  I love the fact that I get a good deal at Amazon.  I save time and gas.  My dog thanks us both.
74651,74652,B0026RQTGE,A2L28WZD5RW60T,"Harry G. Kohler ""MathGuy""",1,1,5,1264809600,Greenies,"Perform as promised.  No problems with ""blobs"" since my dog chews 'em up real well."
74652,74653,B0026RQTGE,ANOAFB0GOMU5C,"Vivian A. Robaldo ""Viv""",1,1,5,1264464000,My dogs love them!,"Great treat for all doggies, very healthy and they adore them.  Excellent and fast shipping,will buy again."
74653,74654,B0026RQTGE,A2C64W88KUQKYO,"Patricia L. Terho ""BookWormette""",1,1,5,1262822400,Teenie Greenies,"My little dogs really like these ""teenie"" Greenies dental chewies. Not only are they good for the dogs' teeth, the dogs consider them a treat! I am not able to find these really small Greenies elsewhere; the smallest I can find in the stores are ""petites"" which are too large for these little dogs to chew.  So, thank you for making these available.  I was very pleased with the service; these arrived here quickly and in excellent condition!  I will order from this website again!"
74654,74655,B0026RQTGE,A2ZNIKXT764IV4,"Sue ""suezieqt""",1,1,5,1262131200,Expensive treats but my dogs LOVE them!,"I have two Airedales.  They aren't fussy eaters - or snackers - but each gets a Greenie at bedtime.  We let them out in the yard for a bit before they go to bed and all I have to do is say ""Time for your Greenies!"" to make them race for the house and dance around until they get that bedtime snack.  It's their special treat and I love the fact that they actually have to chew them moderately slowly instead of just inhaling them!  The only drawback is that they're expensive."
74655,74656,B0026RQTGE,A3GON8WVDICI9P,Garrick Hinaga,1,1,5,1259366400,Very happy with purchase,I was very happy with the quick delivery and how I was given a tracking method to determine where my Greenies were. I'll telling my friends and relatives about the good experience.
74656,74657,B0026RQTGE,AJYYLJ7QYT0H4,My Opinion,1,1,4,1258675200,My Dog Loves Them,What can I say my dog goes crazy over these things - wish I really understood what are in them that makes it so desirable...now if we could only do this for vegetables so kids would be excited!!
74657,74658,B0026RQTGE,A30F5VJRO3095U,Ailoa Sweet,1,1,5,1256688000,My Silky Terrier loves these!,"He weighs 15 pounds, so he is just at the top of the range for the teenie size Greenies.  He likes them so much, he would probably prefer the Jumbo size!  I've given him these for his whole life, so I don't know if they get his teeth any cleaner than without them, but his teeth look pretty clean to me!"
74658,74659,B0026RQTGE,A1F5004VYZ3AXH,"L. Ellis ""lellis""",1,1,5,1252713600,Great for dog breath and teeth,Ive been buying this product for a few years and am very happy with it. My dog loves them.
74659,74660,B0026RQTGE,A25OE2QSYV6J38,H. Skelcher,1,1,4,1244505600,My dog LOVES these,"Ok, can I just express how much my dog loves Greenies.  I know that there have been reports of problems with dogs inhaling them without chewing them well and thus having digestion problems, but my dog savors them.  She freaks out when she knows she's going to get one and will heard whomever is getting it right to the place we store them.  She knows if we talk about them so we have to call them G's to each other.  She will tolerate other treats if I'm waiting for an order from Amazon, but she doesn't like it.  The only downfall is the price.  I can usually find a pretty good deal somewhere on Amazon and so I'll stock up on them when I can.  If I can't, she has to wait and substitute with something else."
74660,74661,B0026RQTGE,ATH3S1TOL6OOJ,L. Palkendo Jr.,1,1,5,1241654400,Greenies,Stopped being able to find large quantities locally so glad that Amazon has vendors who are selling them at a great price.
74661,74662,B0026RQTGE,A2BRHD5Z79UCD7,Jack Hales Jr,1,1,5,1238112000,Greenie Review,"<a href=""http://www.amazon.com/gp/product/B000KBFKIQ"">Greenies Dental Chews - 27 ounce Box - Petite - 45 count</a> Very good product delivered promptly at a fair price. Will order more from this site."
74662,74663,B0026RQTGE,AWR7YOZ6VLBW1,"D. J. Lee ""fivespd""",1,1,4,1230768000,Great for picky eaters,My dog is the pickiest eater and does not enjoy many treats but he goes crazy over this one. It helps freshen his breath but I don't know how to evaluate the cleaning ability of this product. The only bad thing is that it will make your dog fat if he eats too much.
74663,74664,B0026RQTGE,A2QMK145N3F9M,anzi,3,4,1,1349654400,Check Contents First,"Half way through the supply, I noticed that there were tiny white worms boring through a greenie so I checked the remaining greenies and they also had worms.  Please empty the contents of the box and check the greenies when you receive your order before giving them to your dog.  This may have been an isolated incident but it would only take a few minutes to check the contents for freshness."
74664,74665,B0026RQTGE,A19123D9G66E0O,Tim,5,7,3,1326499200,"Dogs love them, but I don't think they love dogs","I will continue to give these to my dogs. They like them and supposedly they clean their teeth.<br />I started to give these to my dog daily, but her digestive system did not like it enough for that. Most of it seems to be digestible, but she threw up green foam on the morning after the second day in a row of eating one-a-day greenies. Note that she was also constipated as well. Greenie advises to have plenty of water available for drinking these, so I am guess they know these side effects can occur. My dog has plenty of water available, but she didn't drink any more than normal, which may have resulted in the effects. I don't plan on training my dog to drink lots of extra water after eating these. Giving here one every now and then shows no negative effects, and that what I plan on doing.<br />Not a complaint to me, but I think people who like giving there dog all natural health food should know that this product is far from ""green."" It is pumped pull of artificial ingredients like a multivitamin. It is also made from concentrated grain protein, rather than the animal protein dogs should be getting. I personally don't feel that this is that big of a deal health wise for a creature than lives 12-18 years, but or people who invest the extra money on organic/natural dog food, you should be staying away from this product."
74665,74666,B0026RQTGE,A21KPT2TLE20SI,M. J. Glita,4,6,3,1294963200,Wrong size,"I ordered the GREENIES 'PETITE' size for my dogs, as I have done many times  before thru Amazon.  This time however, the WRONG size greenies arrived.  The thing is, the box DID say it was the PETITE size on it!  After I opened the box, I found that it was the next size up and too big for my dogs to eat.  Now I have to try & cut these stinkers with a scissors each day!  I'm NOT happy...but I couldn't return them as I had opened the package.<br />I am afraid to order more, as the entire batch that Amazon has, may ALL be MIS-labled!"
74666,74667,B0026RQTGE,A11VCDXC7TGFTG,Do-It-Herself,0,0,5,1351123200,A great deal on Greenies,Paid only $22 with free shipping for 96 teenies compared to about $35 at the pet store. How can you go wrong with a deal like that?  The dog begs for his daily Greenie. Got to have them.
74667,74668,B0026RQTGE,A16MHMVUD5X4I7,Erayna (Legend),0,0,5,1351036800,Greenies for Dogs,"How well the dogs would eat them.  Glad to know the benefits the animals get from chewing them, both for teeth cleaning and breathe.  Safety us always an issue."
74668,74669,B0026RQTGE,A2DBNDAIHM8XXL,"Dennis Park ""Dennis""",0,0,1,1350950400,very dangerous product for dogs,"i bought this for my dog - he loved it.  however, i noticed that he stopped pooping and came to realize (after googling) that it caused him to be constipated.  His stomach was very bloated and I could feel that his colon was obstructed by something -- a piece of undigested greenies treat.  I gave him all some olive oil and mineral oil and massaged his colon and eventually he started pooping again.  I did notice that the greenie came out undigested!  This product is really dangerous and I would love to join in on a class action lawsuit against this unethical company.  They have made greenies 'tasty' but that is all it is.  a tasty but dangerous product."
74669,74670,B0026RQTGE,A1REM7I2ZEE195,"Denise Christensen ""D. Chris10sen""",0,0,5,1350777600,Best doggie treat,"I buy the teenie greenies and break them in half for our dogs.  They go nuts over them no matter what the size.  Having them in a ""lite"" version is even better because the vet did tell me they are high in calories.  Don't know what they put in these things to make them so appealing, but haven't known a dog yet who doesn't love them.  Hope they are also doing the job they are meant to do."
74670,74671,B0026RQTGE,A1CLSM0DDBU4PN,Karyn,0,0,5,1350691200,Dog loves Greenies,Greenies are always a good product.  Our dog loves them and reminds us if we forget to give him one.  Plus I love the price on Amazon and can't always get them locally.
74671,74672,B0026RQTGE,A35JBDYRVSRHH0,"Dorreen Wanitschke ""banker""",0,0,5,1350691200,Great teeth,My vet is always surprised how clean my 8 year old dog's teeth are and I attribute this the his daily Greenie.
74672,74673,B0026RQTGE,A11QSEA6DZM4FZ,Radtechmom,0,0,5,1350691200,radtechmom,Our beautiful Belle loves her daily toothbrush treat. Amazon provides an awesome price and delivers them to our doorstep. That makes it even handier. The Greenies are a proven winner for a more natural breath freshening dog treat. Too bad Greenies doesn't get more 'green' with their packaging and lose the outer box that they use. The sealed inside bag would be plenty good enough. It keeps the treats fresh and takes up less space. The first thing we do is toss the box out--- what a waste!
74673,74674,B0026RQTGE,A3P8H4629FM490,Janice Foley,0,0,5,1350691200,my dogs love these,"In September, I adopted 2 adult border terrier mixes from The Shelter Pet project and the oldest girl had a few ""breath"" issues.  Heard about Greenies and have not been disappointed.  The two of them love their treat before I go to work and it is comical to see them chew and chew and chew, since that is what removes the tartar. Amazon has much better pricing then the pet centers, so I love it.  Try them for your pet, they will love it."
74674,74675,B0026RQTGE,A24DV855HVG8YD,Luis M,0,0,4,1350604800,My Yorkie Loves them!,This is the first time I bought this product for my 9 yr old yorkie... and she loved it!  The small size is perfect for her.  This box of greenies will give her many days of enjoyment!
74675,74676,B0026RQTGE,A38OA79EH91ESR,Library Girl,0,0,5,1350604800,Puppies love them!,"These tinnie greenies make the perfect ""out the door"" bribe for my Cavlier King Charles Babies. I think they almost look forward to me going to work now.  Barkley is 21 lbs & Gypsy is 18 so while they are a bit larger than the recommended size for the product it really works out perfectly helping keep the pounds off.<br /><br />Having shopped around, you are saving about ten dollars by ordering from Amazon rather than going into a big box pet store."
74676,74677,B0026RQTGE,AEIQ20BHN9JFI,MartyF81,0,0,5,1350345600,My Dog Says YUMMMMM,"My Chihuahua has horrible horrible breath.... and she loves to get in your face and give kisses to everyone. These help, and she loves to eat them. Good thing she can't reach the counter!"
74677,74678,B0026RQTGE,A3IL1XU220XIC1,William F. Collins III,0,0,4,1350345600,Good,"My dog likes thse alot..He runs to his bedroom to eat them, which is reserved for just his special treats..Can't say his breath is any better but he just started eating them a month ago,or so.."
74678,74679,B0026RQTGE,A2XFE06WLWRFY5,MacMarv,0,0,3,1350345600,Jumbo Greenies-Good but Very Expensive,"Bought the Jumbo Greenies for my Black Lab. He loved them, but at $2.66 each they are way too expensive for regular use.  Didn't notice any difference in breath which was the primary reason for buying."
74679,74680,B0026RQTGE,A1Q8VCGRLYKXTW,palomar,0,0,4,1350345600,Dogs liked 'em!,Our two thirteen year dogs like these.  They're prone to major tartar build up on their teeth and these helped some and made their breath better.  I never expected these to polish the teeth perfectly but they made a bad condition not so bad.
74680,74681,B0026RQTGE,A1TY4AX8AVRAYQ,Downing,0,0,5,1350345600,Cleaner dog mouth,"This is a good product. My dog likes them, Makes it obvious he wants his greenie every night. Amazon sells them at good price and quality has always been good"
74681,74682,B0026RQTGE,A3OAL021R24977,Brian P. Mclaughlin,0,0,5,1350345600,A treat that is good for the teeth,I have a two year old chihuahua mix.My vet shared with me that I would have to be vigilant about the health of my Pups teeth.Greenies help keep my dogs teeth clean and his breath fresh. And best of all my Pups loves them above all other treats.
74682,74683,B0026RQTGE,A1Z6T9DIZZKGQ8,Ari13,0,0,5,1350259200,My dog loves them,Great product.  My dog loves the bones and they come in a ziplock bag inside the box.  Just like the ones at the store and much cheaper at Amazon.
74683,74684,B0026RQTGE,A20L2URGVM0U3O,J. Phillips,0,0,5,1350000000,OUR DOGS LOVE THEM,"Our Chussel's Love these toothbrush treats. When I ask them if they want to brush their teeth, they jump a mile high to get them. It dosent help their breath to to much, but I know its keeping their teeth clean. Also these are a little on the expensive side almost everywhere, Amazon has the best price. Thanks Amazon."
74684,74685,B0026RQTGE,A3ACKWYDNR7ROA,"DaSkifyMy@aol.com, Michael Ryskin, M.D.",0,0,5,1349827200,Excellent product!,"I have two 6 month old dobemans who asked me to rate Greenies 6 out of five. It is yet to be seen how it will improve their dental health, but as far as their excitement about this particular treat - it is the best, no doubt."
74685,74686,B0026RQTGE,A2X3YTM5NLPUVT,Jenna,0,0,5,1349740800,Love It!!,"Great product, it was exactly what I wanted.  I ordered the medium size because my shi tzu LOVES greenies so much! Good deal for the price considered how expensive they are at petco!!"
74686,74687,B0026RQTGE,A31RZT6E7T9EYK,jimbo,0,0,5,1349654400,great product,"Had been buying greenies at the pet store for the past 7 years, best price on sale was $32.99. These are a great value."
74687,74688,B0026RQTGE,A19YPE8M0WAWXF,S. Stover,0,0,5,1349568000,Greenies Senior,"Great service, great product, our dogs LOVE them!  Great for their teeth, and it keeps them from eating grass if they have one first thing in the morning!"
74688,74689,B0026RQTGE,A2UM9EMK7DG3CS,Tammy,0,0,5,1349568000,Oliver's must have greenies,My little Oliver loves his greenies.......He gets 1 everymorning thanks to such a good buy we are sure to have them every day.........
74689,74690,B0026RQTGE,A1P28UWVW8H4QD,"J. J. Woodcock ""JW""",0,0,5,1349481600,What my dogs have to say . . .,"Anytime I shout out ""Mr. Greenie! Four dogs come running, ages 12 to 2. My dogs love them and they do seem to help with breath and tarter. Amazon has the absolute best prices."
74690,74691,B0026RQTGE,A1F397GW8I3P3A,Raymond Rotzien,0,0,5,1349395200,Wonderful service and product,This is a wonderful product that my dog really loves.  there is only one thing to make this product better - 30 chews in the box so we would have one for every day of the month.
74691,74692,B0026RQTGE,A170MXSZN9C7TR,Tennessee Farmboy,0,0,5,1349222400,Simply The Best,Greenies are my pups number one favorite treat.  He loves them and they help keep his teeth clean. I reccomend these to anyone who wants to spoil their pet.
74692,74693,B0026RQTGE,A2QQTUQ3CMQFNH,"Nancy J. Stein ""BABeliever""",0,0,5,1349222400,My dog loves Greenies,"These are a great size for an evening snack.  My dog loves them and ""insists"" on having one or two every night."
74693,74694,B0026RQTGE,AWNC2IL18ZAEH,Neal,0,0,5,1349136000,Greenies,We are very pleased with our purchase of Greenies.  The price was grteat (compared with the pet stores) and the service was excellent.  Our dog is even more pleased than we are - he loves them.
74694,74695,B0026RQTGE,AW6M2AN9JQT8K,Tony,0,0,5,1349049600,"An 'attention getter' for our ""hotdog""","Our mini Dachshund loves these. Limited to 1 a day. One of the few ""treats"" that he has not tired of. Also, his breath has been noticeably fresher since he has been having these. So far, best price on Amazon. The local pet food chains' sale prices has not yet come close to the regular price of these 96 count 'Teenie' packs. Can't vouch on the benefit of nutritional value of these, but the vet says our mini is in great shape ...right where he is suppose to be."
74695,74696,B0026RQTGE,A1JDBLA0OO71BG,Redhead,0,0,5,1348963200,My dogs like it,Not only my logs like these snacks... ME TOO because their mouth isn't stinky anymore! ;) I will keep on buying it because of that reason. DOG LOVERS: you will like this product.
74696,74697,B0026RQTGE,A2X01RNZ2POM6D,"jkmfromla ""jkmfromla""",0,0,4,1348790400,Last bag had 1 big greenie ball,"I've been using this product for almost 2 years and my dogs seem to like it.  However, last box/bag had all 96 greenies stuck together in a huge ball.  Maybe it was the heat or maybe something happened during packaging.  Either case, I have to pull off 1 at a time when it comes to snack time."
74697,74698,B0026RQTGE,A3SN14YLPVOM7T,"Laurie Carroll ""sunshinegal123""",0,0,5,1348704000,PICCOLO LOVES THESE,"My little Papillon, Piccolo absolutely LOVES these. I no longer have to try to brush his teeth every evening and he smells delicious when I kiss him good night. I'LL BE GETTING THESE FROM YOU FOR AS LOG AS WE BOTH MAY LIVE!<br /><br />THANK YOU, AMAZON!!!!!"
74698,74699,B0026RQTGE,AZDP1YYXJ4FQ4,elizatrace,0,0,5,1348704000,My dogs love them! And good for them!,They're a great product and automated delivery at great prices can't be beat!  My dogs go crazy when it comes to greenie time at night.  No matter how many nights we do the same thing they are always over the top for greenies
74699,74700,B0026RQTGE,A2WPBUC41US8X9,Penny P,0,0,5,1348617600,My boys love greenies!!!,I have 2 small dogs and one really small dog.  They all get one Greenie a day.  They LOVE their greenies!1 I love that the Greenies help to keep their mouths fresh and clean. They are adorable and are shaped like a mini toothbrush!!!
74700,74701,B0026RQTGE,ASSC2299D4RPW,Nancy Lee,0,0,5,1348272000,Reorder of Greenies,Greenies are given to both of my Westies and they expect one a day when they complete their morning routine.  Best treat ever.
74701,74702,B0026RQTGE,A10D02RQH2SRC6,B. J. McClain,0,0,5,1348272000,love my litttle dogs,My little ones love their teenie greenies. It is so easy to order them from Amazon. Greenies are recomendid by my vet to help keep my dachshunds teeth clean and healthy.
74702,74703,B0026RQTGE,A3J9T78MGOZ0F6,"Rebecca ""starmom4""",0,0,5,1348272000,My dogs love them!,Did some research because my dogs have bad breath and dirty teeth. I have tried brushing their teeth with doggie toothpaste and have bought all kinds of chewy treats but nothing worked. So I bought these and gave each dog a treat every morning.  Not only does their breath smell better but their teeth look cleaner as well. I quickly bought a second box. The dogs seem to enjoy the taste and they are made so that the dog can't just gulp them down.  They have to chew them.  I would highly recommend these treats.
74703,74704,B0026RQTGE,AWVJ6RRO0Y1FM,"PS ""Wonderwoman""",0,0,5,1348099200,Dog Loves!,My dog loves these treats and they are lite too.  I have been buying them for the last 5 years
74704,74705,B0026RQTGE,A9XLVHNNA862X,Rkon23,0,0,3,1348012800,Good for breath,"These bones are great for a dog's breath. However, I was looking for something that would take him more than a minute to chew. Still a good treat for doggy breath."
74705,74706,B0026RQTGE,A1TEFN18LEQ6R4,Paul,0,0,5,1348012800,Why do they increase the price each month on the product?,I have subsribed to the monthly shipment of Greenies 27 oz canister teenie 96 count product and each month the price increases.  If i sign up today the price drops to $19.94.  Why the increase?  Seems like they lock you in for a scheduled order and then take advantage of you hoping that you won't notice the price increases.<br /><br />The product is great and my dogs love them but the business practice of the price hikes is terrible.
74706,74707,B0026RQTGE,A2EJVJ5G4DYGV3,Melinda,0,0,5,1347926400,My Puppy Loves These,"Einstein our puppy loves the Greenies.  He get's one at night before bed as a bribe for going into his kennel.  Works wonders:)  Since, he gets one every night we go through the Greenies fairly quickly.  I like the larger size and was actually cheaper per piece.<a href=""http://www.amazon.com/gp/product/B001G96UK8"">Greenies 27 oz Canister Teenie 96 Count</a>"
74707,74708,B0026RQTGE,A3U8QVZ4BSO839,Mrs. L,0,0,4,1347840000,A noticeable difference in dental health,"I've only given Greenies four stars because they're pretty costly at one Greenie per day (and we have two dogs).  That said, we stopped giving our dogs Greenies for a period of time and there was a significant amount of brown-colored build up around the base of our dogs' teeth.  We started giving them Greenies again and within a short period of time the build-up was gone in most areas and, overall, greatly reduced.  I realize that we could brush our dogs teeth in order to avoid the cost, but neither of us wants to take on this chore; plus, the dogs LOVE Greenies.<br /><br />I used to buy this product at Petsmart, but they're much less expensive on Amazon."
74708,74709,B0026RQTGE,A1CMD08Z49PGKQ,okiedan,0,0,5,1347840000,My vet suggested this.,My two dogs love these.  Now as to do they work.  I honestly do not know.  Both of my dogs are right now at what my vet calls stage two on dental health.  Stage four is the worst on his scale.  I am going to monitor and see IF just maybe they will either still be a stage two in a year or maybe better.  If they maintain at stage two I would love it.  Teeth cleaning on dogs is very expensive so if this product works it will save me big bucks.  Here's hoping!  I will come back and update this after their next check up which should be around August of 2013.
74709,74710,B0026RQTGE,A3BKR6QASTTL4D,Rose,0,0,5,1347753600,Very pleased,"Nothing negative to say about this buying experience.  My dog loves Greenies, and this was a better price than what I have seen elsewhere.  Treats like this, along with regular dental care (brushing her teeth and getting her teeth professionally cleaned by a vet) means that my dog's breath is nice and she is healthier.  My dog is 7kgs (around 15 lbs)and this is a perfect size for her.  The packaging keeps these treats fresh - inside the box is an airtight resealable bag."
74710,74711,B0026RQTGE,A2RWZY0CD32TZF,B. Diane Sheely,0,0,5,1347667200,Greenies,My dog looks forward everyday to getting his Greenies.  It is a great toothbrush and keeps him from having too much tarter on his teeth.
74711,74712,B0026RQTGE,A1ZBPBWFVM1P7H,Sami,0,0,5,1347580800,Dogs love em!,"I am always concerned with my dogs oral health. I have found that my dogs love the Greenies and they do a good job of helping to keep the tarter build up off their teeth! I have one dog that is very particular about his treats and what he will chew on but he loves the Greenies, in fact my dogs will do most anything I ask so long as they know they get a Greenie afterwards!"
74712,74713,B0026RQTGE,A2HCZXMS36YH3J,B. Majdanik,0,0,5,1347494400,Instead of brushing~,Always had trouble trying to brush my dog's teeth; thought I would try the Greenies Petite (16 lb cockapoo). They are plenty big enough. She has one everyday loves them and her teeth are looking very healthy; no tartar build up. Definitely recommend them.
74713,74714,B0026RQTGE,A1TSI3IZGJRNU9,Damian,0,0,5,1347408000,Highly recomended,"My dog love it, and She's a very, very picky eater- even with treats. So, this product must have a great flavor."
74714,74715,B0026RQTGE,A36WSXJYYBGK9U,Susan M Krings,0,0,5,1347321600,My dogs love Greenies,"Both of my small breed dogs love their greenies treat and I like that it is good for their dental health,,"
74715,74716,B0026RQTGE,A11JMBAZTF8JPI,kwansolo,0,0,4,1347235200,catnip for dogs?,"my german shepherd goes crazy for these things. i have no idea why he likes them so much. his breath is always pretty good, so i guess these work well. good deal for the scheduled delivery option."
